query_id,corpus_id
qd4982518,dd4b9f7f6
qd4982518,dd4bf84f0
qd4982518,dd4bb016e
qd4982518,dd4b87d18
qd4982518,dd4980a42
qd4982518,dd4c4c208
qd4982518,dd4c0d2d8
qd4982518,dd4c4fb38
qd4982518,dd4be45d6
qd49795a8,dd4b9e8ce
qd49795a8,dd4befb5c
qd49795a8,dd4979f76
qd49795a8,dd4979602
qd49795a8,dd496eee6
qd49795a8,dd4c17a26
qd49795a8,dd4c11518
qd49795a8,dd4983698
qd496f724,dd4bd1c42
qd496f724,dd4983698
qd496f724,dd4c648e4
qd496f724,dd4b9306e
qd496f724,dd4bafa8e
qd496f724,dd496f77e
qd496f724,dd4ba9f94
qd496f724,dd4bb42d2
qd496f724,dd4bc314c
qd496f102,dd4b985b4
qd496f102,dd4c2f676
qd496f102,dd4bde26c
qd496f102,dd496f152
qd496f102,dd4972226
qd496f102,dd4ba111e
qd496f102,dd4bc3bf6
qd496f102,dd4b994c8
qd496f918,dd496f968
qd496f918,dd4bbbab4
qd496f918,dd4c229ee
qd496f918,dd4bf8928
qd496f918,dd4baf534
qd496f918,dd4ba898c
qd496f918,dd4c091f6
qd496f918,dd4c60bae
qd496f918,dd4ba0908
qd49859fc,dd4b8ef96
qd49859fc,dd4bda464
qd49859fc,dd4bfc5c8
qd49859fc,dd4b87c00
qd49859fc,dd4bc16bc
qd49859fc,dd4b9d19a
qd49859fc,dd4c323bc
qd49859fc,dd4979b84
qd49859fc,dd4bcf1ae
qd4981d2a,dd496ed24
qd4981d2a,dd4bdca34
qd4981d2a,dd497f5e8
qd4981d2a,dd4c1e9ca
qd4981d2a,dd4ba523c
qd4981d2a,dd4c64272
qd4981d2a,dd4be5b20
qd4981d2a,dd4b905bc
qd4981d2a,dd4c2f16c
qd497d4aa,dd4b9e8ce
qd497d4aa,dd4979f76
qd497d4aa,dd496eee6
qd497d4aa,dd4befb5c
qd497d4aa,dd4c17a26
qd497d4aa,dd4979602
qd497d4aa,dd4c11518
qd497d4aa,dd4c44684
qd497e0ee,dd4be409a
qd497e0ee,dd4bc8dd6
qd497e0ee,dd4bcce18
qd497e0ee,dd4c31dd6
qd497e0ee,dd4bf91ac
qd497e0ee,dd4974b0c
qd497e0ee,dd497e134
qd497e0ee,dd4b90ada
qd49850c4,dd49763da
qd49850c4,dd4c4fec6
qd49850c4,dd4bbb276
qd49850c4,dd4982158
qd49850c4,dd4bbc8f6
qd49850c4,dd4c5a20e
qd49850c4,dd497a3f4
qd49850c4,dd4bbc202
qd4982d6a,dd4be9c84
qd4982d6a,dd4b8b670
qd4982d6a,dd4975c1e
qd4982d6a,dd4c5007e
qd4982d6a,dd4c25cf2
qd4982d6a,dd4c1f3fc
qd4982d6a,dd4bbb668
qd4982d6a,dd4c1f514
qd4982d6a,dd4bc15d6
qd498998a,dd4c4749c
qd498998a,dd4c25860
qd498998a,dd4bf297e
qd498998a,dd4bc4eb6
qd498998a,dd4beb516
qd498998a,dd4b908e6
qd498998a,dd4bbeb7e
qd4977906,dd4ba91e8
qd4977906,dd4ba3e6e
qd4977906,dd4b92f10
qd4977906,dd4bbb17c
qd4977906,dd496d938
qd4977906,dd4b912fa
qd4977906,dd49818fc
qd4977906,dd4bad842
qd4977906,dd4b93d66
qd498a6dc,dd497bae2
qd498a6dc,dd4c38834
qd498a6dc,dd4bc5dac
qd498a6dc,dd4b8d65a
qd498a6dc,dd4b8b3f0
qd498a6dc,dd4bdddee
qd498a6dc,dd4b8f41e
qd498a6dc,dd496ebc6
qd498f128,dd4c596a6
qd498f128,dd4970516
qd498f128,dd498682a
qd498f128,dd4b91e44
qd498f128,dd4c19290
qd498f128,dd4bb81de
qd498f128,dd4c1a4c4
qd498f128,dd496f454
qd498f128,dd4bd2bd8
qd4973770,dd4c5bc8a
qd4973770,dd49737c0
qd4973770,dd4c0ce78
qd4973770,dd4c1201c
qd4973770,dd4bc0e88
qd4973770,dd4ba81f8
qd4973770,dd4c391d0
qd4973770,dd4bc2440
qd498d6fc,dd497d298
qd498d6fc,dd4b9e234
qd498d6fc,dd4ba122c
qd498d6fc,dd4ba5fa2
qd498d6fc,dd4bb4da4
qd498d6fc,dd498af42
qd498d6fc,dd4c346bc
qd498d6fc,dd4c5cebe
qd496d118,dd4bd0162
qd496d118,dd4c3af26
qd496d118,dd4baa548
qd496d118,dd4bd002c
qd496d118,dd4c26dbe
qd496d118,dd4bd5eb4
qd496d118,dd496d15e
qd496d118,dd497848c
qd496d118,dd4b8bbf2
qd496f594,dd4bbe2a0
qd496f594,dd496f5c6
qd496f594,dd4c0119a
qd496f594,dd4be4e3c
qd496f594,dd4bcfc62
qd496f594,dd4b902a6
qd496f594,dd4b87d18
qd496f594,dd4be45d6
qd49825e0,dd4970e26
qd49825e0,dd496ce98
qd49825e0,dd4c1311a
qd49825e0,dd4bd3b46
qd49825e0,dd4bea74c
qd49825e0,dd4ba3d92
qd49825e0,dd4c1d854
qd49825e0,dd4c51988
qd49825e0,dd497fb38
qd497a3b8,dd4bbc8f6
qd497a3b8,dd4c5a20e
qd497a3b8,dd4ba5d86
qd497a3b8,dd4c42172
qd497a3b8,dd4bc2e5e
qd497a3b8,dd4c01ae6
qd497a3b8,dd4baa23c
qd497a3b8,dd49763da
qd497c528,dd4bdb968
qd497c528,dd4b9e324
qd497c528,dd4b974d4
qd497c528,dd4c4e0f8
qd497c528,dd4bde6cc
qd497c528,dd4bb4da4
qd497c528,dd4bfadae
qd497c528,dd497d298
qd498f394,dd4c6501e
qd498f394,dd4bc4b46
qd498f394,dd4b94b76
qd498f394,dd497b524
qd498f394,dd4bb0bb4
qd498f394,dd4b87d18
qd498f394,dd4c2fef0
qd498f394,dd4ba7a78
qd4980326,dd4bb227a
qd4980326,dd4ba02f0
qd4980326,dd4c51a78
qd4980326,dd4b97e7a
qd4980326,dd4c4cd52
qd4980326,dd4c065fa
qd4980326,dd4bc1b94
qd4980326,dd4b8f0b8
qd4980326,dd4c4ce4c
qd498cc2a,dd4c66176
qd498cc2a,dd4b94ed2
qd498cc2a,dd497ad9a
qd498cc2a,dd4bbe1b0
qd498cc2a,dd4b9445a
qd498cc2a,dd4b8a14e
qd498cc2a,dd4bd73ea
qd498cc2a,dd4ba9d28
qd498cc2a,dd4ba534a
qd497b7e0,dd4ba48a0
qd497b7e0,dd4b8761a
qd497b7e0,dd4b9436a
qd497b7e0,dd4bed5aa
qd497b7e0,dd4c397b6
qd497b7e0,dd4b98d7a
qd497b7e0,dd4b926f0
qd497b7e0,dd4bc0adc
qd497b7e0,dd4c2dccc
qd498ed9a,dd4be481a
qd498ed9a,dd4ba660a
qd498ed9a,dd4bf241a
qd498ed9a,dd4b9e234
qd498ed9a,dd4c598ea
qd498ed9a,dd497d298
qd498ed9a,dd4be9e5a
qd498ed9a,dd4c346bc
qd498e660,dd4983698
qd498e660,dd4bd1c42
qd498e660,dd4c178a0
qd498e660,dd4c648e4
qd498e660,dd4b9306e
qd498e660,dd4ba9f94
qd498e660,dd4bc04e2
qd498e660,dd4c25efa
qd498e660,dd4bc314c
qd498d5e4,dd4b88aa6
qd498d5e4,dd4b9e068
qd498d5e4,dd4bd0a18
qd498d5e4,dd4bf297e
qd498d5e4,dd4beb516
qd498d5e4,dd4b9328a
qd498d5e4,dd4bd7db8
qd498d5e4,dd4bc4eb6
qd497c92e,dd4bcdcaa
qd497c92e,dd4c5cebe
