query_id,corpus_id
q00001,MSFT20230236
q00001,MSFT20230026
q00001,MSFT20230128
q00001,MSFT20231716
q00001,MSFT20230025
q00001,MSFT20230216
q00001,MSFT20230058
q00001,MSFT20230148
q00001,MSFT20231720
q00001,MSFT20230230
q00002,MSFT20231766
q00002,MSFT20231728
q00002,MSFT20230170
q00002,MSFT20230148
q00002,MSFT20231720
q00002,MSFT20230128
q00002,MSFT20231716
q00002,MSFT20230120
q00002,MSFT20230521
q00002,MSFT20230530
q00003,MSFT20230233
q00003,MSFT20230231
q00003,MSFT20230238
q00003,MSFT20230025
q00003,MSFT20230230
q00003,MSFT20230236
q00003,ORCL20231120
q00003,MSFT20230010
q00003,MSFT20230058
q00003,MSFT20230469
q00004,MSFT20230311
q00004,MSFT20230317
q00004,MSFT20230230
q00004,MSFT20230058
q00004,MSFT20230486
q00004,MSFT20230966
q00004,MSFT20230236
q00004,MSFT20230507
q00004,MSFT20231766
q00004,MSFT20230170
q00005,MSFT20230723
q00005,META20231645
q00005,MSFT20230331
q00005,MSFT20230545
q00005,MSFT20231297
q00005,MSFT20231531
q00005,META20230893
q00005,MSFT20230608
q00005,GOOGL20230680
q00005,MSFT20231767
q00006,MSFT20231335
q00006,MSFT20230722
q00006,MSFT20230723
q00006,MSFT20231766
q00006,MSFT20230544
q00006,MSFT20230482
q00006,MSFT20230574
q00006,MSFT20230594
q00006,MSFT20230584
q00006,MSFT20231344
q00007,MSFT20231767
q00007,MSFT20230482
q00007,MSFT20231766
q00007,MSFT20230509
q00007,MSFT20230584
q00007,MSFT20230574
q00007,MSFT20230545
q00007,MSFT20230183
q00007,MSFT20230966
q00007,MSFT20230986
q00008,ADBE20231120
q00008,ORCL20231142
q00008,V20231038
q00008,NVDA20231339
q00008,MSFT20231529
q00008,ADBE20231119
q00008,UNH20230812
q00008,BRK.A20232301
q00008,NVDA20231343
q00008,AMZN20230859
q00009,ADBE20231907
q00009,ADBE20231702
q00009,ADBE20230961
q00009,ADBE20230209
q00009,ADBE20230004
q00009,ADBE20230776
q00009,ADBE20230822
q00009,ADBE20230859
q00009,ADBE20230880
q00009,ADBE20230910
q00010,GOOGL20231590
q00010,GOOGL20230327
q00010,ADBE20230435
q00010,META20231692
q00010,MSFT20231610
q00010,ADBE20231571
q00010,MSFT20231621
q00010,MSFT20231609
q00010,AAPL20230221
q00010,JNJ20230524
q00011,ADBE20230435
q00011,AMZN20230738
q00011,META20231378
q00011,NFLX20230797
q00011,HD20231301
q00011,V20231548
q00011,JNJ20231505
q00011,AMZN20230285
q00011,META20231403
q00011,META20231379
q00012,ADBE20230283
q00012,ADBE20230961
q00012,ADBE20230004
q00012,ADBE20231702
q00012,ADBE20230263
q00012,ORCL20230187
q00012,ADBE20230497
q00012,ADBE20231828
q00012,ADBE20230236
q00012,ADBE20230007
q00013,ADBE20230435
q00013,BRK.A20232339
q00013,V20231321
q00013,BRK.A20232309
q00013,ADBE20230267
q00013,LIN20231879
q00013,UNH20230846
q00013,JPM20233971
q00013,LIN20231849
q00013,ADBE20230053
q00014,ADBE20230435
q00014,CPNG20230674
q00014,CPNG20231086
q00014,ADBE20230482
q00014,MSFT20230504
q00014,PG20230511
q00014,LIN20232011
q00014,LIN20230372
q00014,NVDA20231118
q00015,CPNG20230566
q00015,CPNG20230120
q00015,CPNG20231088
q00015,CPNG20230144
q00015,CPNG20230616
q00015,CPNG20230576
q00015,CPNG20230085
q00015,CPNG20230767
q00015,CPNG20230821
q00015,CPNG20231540
q00016,CPNG20231088
q00016,CPNG20230616
q00016,CPNG20231540
q00016,CPNG20231566
q00016,CPNG20231589
q00016,CPNG20230682
q00016,CPNG20230767
q00016,CPNG20230520
q00016,CPNG20231191
q00016,CPNG20230808
q00017,BRK.A20230926
q00017,META20230893
q00017,DAL20230608
q00017,AAPL20230707
q00017,LIN20230557
q00017,LIN20231477
q00017,LIN20231498
q00017,LIN20230558
q00017,PG20230429
q00017,TSLA20231108
q00018,CPNG20230509
q00018,V20230594
q00018,ORCL20230753
q00018,UNH20231332
q00018,JNJ20231848
q00018,JNJ20231863
q00018,JNJ20231045
q00018,UNH20231350
q00018,BRK.A20230089
q00018,LIN20231731
q00019,CPNG20230684
q00019,CPNG20230539
q00019,CPNG20231430
q00019,CPNG20231426
q00019,CPNG20230205
q00019,CPNG20231435
q00019,CPNG20230730
q00019,CPNG20230173
q00019,CPNG20230063
q00019,CPNG20230732
q00020,CPNG20230644
q00020,CPNG20230767
q00020,CPNG20231566
q00020,CPNG20231589
q00020,CPNG20231540
q00020,CPNG20231594
q00020,CPNG20230320
q00020,CPNG20230856
q00020,CPNG20230986
q00020,CPNG20230907
q00021,JNJ20231486
q00021,BRK.A20232648
q00021,BRK.A20231070
q00021,CPNG20230644
q00021,NVDA20231399
q00021,DAL20231431
q00021,LIN20231729
q00021,JPM20231212
q00021,PG20231223
q00021,DAL20231614
q00022,AMZN20230439
q00022,DAL20230783
q00022,META20230912
q00022,PG20230525
q00022,NFLX20230395
q00022,ORCL20230751
q00022,META20230898
q00022,AMZN20230452
q00022,PG20230268
q00022,PG20230269
q00023,CPNG20230509
q00023,V20230308
q00023,GOOGL20231579
q00023,GOOGL20230270
q00023,V20231503
q00023,META20231687
q00023,BRK.A20232245
q00023,CPNG20231041
q00023,CPNG20230455
q00023,V20230306
q00024,LIN20230324
q00024,LIN20230563
q00024,LIN20230234
q00024,LIN20230326
q00024,LIN20230292
q00024,LIN20230006
q00024,LIN20230332
q00024,LIN20230238
q00024,LIN20230603
q00024,LIN20230567
q00025,LIN20230218
q00025,LIN20232009
q00025,LIN20230370
q00025,LIN20230006
q00025,LIN20230161
q00025,LIN20232032
q00025,LIN20230227
q00025,LIN20230432
q00025,LIN20230238
q00025,LIN20230393
q00026,LIN20231722
q00026,LIN20230195
q00026,LIN20230358
q00026,LIN20231723
q00026,LIN20231724
q00026,LIN20231727
q00026,LIN20231725
q00026,LIN20232169
q00026,LIN20230565
q00026,LIN20231766
q00027,LIN20231143
q00027,LIN20232001
q00027,LIN20230098
q00027,LIN20230110
q00027,LIN20230593
q00027,LIN20231141
q00027,LIN20231723
q00027,LIN20230080
q00027,LIN20231727
q00027,LIN20230592
q00028,LIN20231195
q00028,LIN20230161
q00028,LIN20231724
q00028,LIN20231725
q00028,LIN20231719
q00028,LIN20231723
q00028,LIN20231615
q00028,LIN20230593
q00028,LIN20230564
q00028,LIN20232131
q00029,LIN20231722
q00029,LIN20231719
q00029,LIN20231718
q00029,LIN20232169
q00029,LIN20231717
q00029,LIN20230593
q00029,LIN20231615
q00029,LIN20231723
q00029,LIN20231724
q00029,LIN20231725
q00030,LIN20230152
q00030,LIN20230097
q00030,LIN20230038
q00030,LIN20230155
q00030,LIN20230085
q00030,LIN20230096
q00030,LIN20230098
q00030,LIN20230123
q00030,LIN20230094
q00030,LIN20230081
q00031,LIN20230025
q00031,LIN20230160
q00031,LIN20230225
q00031,LIN20230227
q00031,LIN20230004
q00031,LIN20230005
q00031,LIN20232083
q00031,LIN20230432
q00031,LIN20230219
q00031,LIN20230070
q00032,LIN20230712
q00032,LIN20230272
q00032,LIN20230690
q00032,LIN20230716
q00032,LIN20230332
q00032,LIN20230883
q00032,LIN20230324
q00032,LIN20231192
q00032,LIN20230545
q00032,LIN20231004
q00033,LIN20230563
q00033,LIN20231615
q00033,LIN20231613
q00033,LIN20230350
q00033,LIN20231614
q00033,LIN20230324
q00033,LIN20231677
q00033,LIN20230545
q00033,LIN20230565
q00033,LIN20230603
q00034,LIN20230563
q00034,LIN20230567
q00034,LIN20231004
q00034,LIN20231614
q00034,LIN20231615
q00034,LIN20231613
q00034,LIN20230545
q00034,LIN20230569
q00034,LIN20230593
q00034,LIN20230573
q00035,ORCL20231611
q00035,ORCL20231568
q00035,ORCL20231550
q00035,ORCL20230941
q00035,ORCL20231035
q00035,ORCL20231524
q00035,ORCL20230403
q00035,MSFT20231621
q00035,HD20230455
q00035,NFLX20230380
q00036,ORCL20230462
q00036,ORCL20231159
q00036,ORCL20230326
q00036,ORCL20230416
q00036,ORCL20231550
q00036,ORCL20230941
q00036,ORCL20230011
q00036,ORCL20231611
q00036,GOOGL20230758
q00036,ORCL20231226
q00037,ORCL20230400
q00037,ORCL20231707
q00037,ORCL20231550
q00037,ORCL20231458
q00037,ORCL20231470
q00037,ORCL20230462
q00037,ORCL20231446
q00037,ORCL20230226
q00037,ORCL20231476
q00037,UNH20231332
q00038,ORCL20231521
q00038,ORCL20231128
q00038,ORCL20231136
q00038,ORCL20231816
q00038,ORCL20231821
q00038,ORCL20230014
q00038,ORCL20231422
q00038,ORCL20231091
q00038,ORCL20230242
q00038,ORCL20231399
q00039,ORCL20230709
q00039,ORCL20231226
q00039,ORCL20230738
q00039,ORCL20230941
q00039,ORCL20231458
q00039,ORCL20231476
q00039,ORCL20231470
q00039,UNH20230470
q00039,META20231166
q00039,ORCL20231094
q00040,ORCL20231106
q00040,ORCL20231110
q00040,ORCL20230709
q00040,ORCL20230615
q00040,ORCL20230638
q00040,ORCL20231226
q00040,ORCL20230054
q00040,ORCL20230436
q00040,MSFT20231014
q00040,ORCL20231458
q00041,MSFT20230122
q00041,MSFT20231710
q00041,MSFT20230120
q00041,CPNG20230534
q00041,AMZN20230323
q00041,PG20230826
q00041,AMZN20230704
q00041,ADBE20230019
q00041,PG20230008
q00041,ORCL20230016
q00042,ORCL20230130
q00042,ORCL20230242
q00042,ORCL20231816
q00042,ORCL20231821
q00042,ORCL20230129
q00042,ORCL20231458
q00042,ORCL20230545
q00042,ORCL20231470
q00042,ORCL20231550
q00042,ORCL20230124
q00043,ORCL20230941
q00043,ORCL20231614
q00043,ORCL20231568
q00043,ORCL20230709
q00043,UNH20231249
q00043,ORCL20231226
q00043,V20231499
q00043,ORCL20231035
q00043,ORCL20231412
q00043,ORCL20231611
q00044,MSFT20230203
q00044,ORCL20231505
q00044,MSFT20230489
q00044,ORCL20230220
q00044,MSFT20231587
q00044,NVDA20231024
q00044,NVDA20230435
q00044,NVDA20230544
q00044,ORCL20230059
q00044,ORCL20230013
q00045,NVDA20230009
q00045,NVDA20230049
q00045,NVDA20230015
q00045,NVDA20230016
q00045,NVDA20230061
q00045,NVDA20230048
q00045,NVDA20231530
q00045,NVDA20230021
q00045,NVDA20230426
q00045,NVDA20230460
q00046,NVDA20230419
q00046,NVDA20230413
q00046,NFLX20230239
q00046,ORCL20230414
q00046,AAPL20230230
q00046,BRK.A20230426
q00047,NVDA20230460
q00047,NVDA20231571
q00047,NVDA20230534
q00047,NVDA20230542
q00047,NVDA20230543
q00047,NVDA20230005
q00047,NVDA20231570
q00047,NVDA20230471
q00047,NVDA20231582
q00047,NVDA20230021
q00048,NVDA20230329
q00048,NVDA20230217
q00048,NVDA20230338
q00048,NVDA20230914
q00048,NVDA20230283
q00048,NVDA20230322
q00048,NVDA20230229
q00048,NVDA20230273
q00048,NVDA20230435
q00048,NVDA20230336
q00049,NVDA20230535
q00049,NVDA20230547
q00049,NVDA20230537
q00049,PG20230301
q00049,NVDA20230534
q00049,CPNG20230676
q00049,NVDA20230924
q00049,NVDA20230498
q00049,NVDA20230048
q00049,NVDA20230464
q00050,PG20230010
q00050,PG20230241
q00050,PG20230240
q00050,PG20230756
q00050,PG20230239
q00050,PG20230203
q00050,PG20230174
q00050,PG20230237
q00050,PG20230003
q00050,PG20230805
q00051,PG20230756
q00051,PG20230203
q00051,PG20230174
q00051,PG20230839
q00051,PG20230012
q00051,PG20230239
q00051,PG20230221
q00051,PG20230327
q00051,PG20230003
q00051,PG20230229
q00052,PG20230174
q00052,PG20230024
q00052,PG20230171
q00052,PG20230203
q00052,PG20230327
q00052,PG20230756
q00052,PG20231056
q00052,PG20230003
q00052,PG20230145
q00052,PG20230181
q00053,PG20230277
q00053,PG20230053
q00053,PG20230278
q00053,PG20230054
q00053,PG20230055
q00053,PG20230280
q00053,PG20230279
q00053,V20230370
q00053,PG20230187
q00053,PG20230052
q00054,JNJ20230163
q00054,MSFT20230341
q00054,ORCL20230379
q00054,HD20230199
q00054,MSFT20230338
q00054,TSLA20230312
q00054,JPM20230812
q00054,HD20230198
q00054,MSFT20230344
q00054,JNJ20230181
q00055,PG20230145
q00055,PG20230151
q00055,PG20230003
q00055,PG20230142
q00055,PG20230174
q00055,PG20230152
q00055,PG20230153
q00055,PG20230203
q00055,PG20230171
q00055,PG20230553
q00056,MSFT20231610
q00056,PG20230174
q00056,V20231498
q00056,HD20231192
q00056,PG20230165
q00056,MSFT20231609
q00056,HD20230351
q00056,NVDA20230610
q00056,JNJ20230524
q00056,NVDA20231518
q00057,PG20230171
q00057,PG20230174
q00057,PG20230181
q00057,PG20230003
q00057,PG20230239
q00057,PG20231056
q00057,PG20230616
q00057,PG20231059
q00057,PG20230327
q00057,PG20230203
q00058,PG20230171
q00058,PG20230327
q00058,PG20231056
q00058,PG20230616
q00058,PG20231059
q00058,PG20230181
q00058,PG20230298
q00058,PG20230174
q00058,PG20230267
q00058,PG20230615
q00059,PG20230174
q00059,PG20230171
q00059,PG20230181
q00059,PG20231056
q00059,PG20230005
q00059,PG20230616
q00059,PG20231059
q00059,PG20230327
q00059,PG20230239
q00059,PG20230004
q00060,PG20230237
q00060,PG20230240
q00060,PG20230756
q00060,PG20230203
q00060,PG20230174
q00060,PG20230241
q00060,PG20230206
q00060,PG20230221
q00060,PG20230003
q00060,PG20230004
q00061,PG20230240
q00061,PG20230221
q00061,PG20230805
q00061,PG20230756
q00061,PG20230203
q00061,PG20230241
q00061,PG20230208
q00061,PG20230226
q00061,PG20230174
q00061,PG20230003
q00062,PG20230221
q00062,PG20230805
q00062,PG20230230
q00062,PG20230203
q00062,PG20230240
q00062,PG20230756
q00062,PG20230148
q00062,PG20230174
q00062,PG20230149
q00062,PG20230226
q00063,PG20230241
q00063,PG20230240
q00063,PG20230239
q00063,PG20230245
q00063,PG20230203
q00063,PG20230756
q00063,PG20230010
q00063,PG20230003
q00063,PG20230145
q00063,PG20230553
q00064,PG20230267
q00064,PG20230298
q00064,PG20230327
q00064,PG20230616
q00064,PG20231059
q00064,PG20230615
q00064,PG20230381
q00064,PG20231056
q00064,PG20230371
q00064,PG20230325
q00065,PG20230527
q00065,PG20231059
q00065,PG20230616
q00065,PG20231056
q00065,PG20230269
q00065,DAL20230783
q00065,PG20230298
q00065,PG20230198
q00065,PG20230268
q00065,PG20230615
q00066,PG20230301
q00066,PG20230298
q00066,PG20230284
q00066,PG20230286
q00066,PG20230616
q00066,PG20231059
q00066,PG20230381
q00066,PG20230327
q00066,PG20230171
q00066,PG20230267
q00067,LIN20230557
q00067,PG20230429
q00067,PG20230430
q00067,PG20230428
q00067,JNJ20230445
q00067,PG20230769
q00067,PG20231056
q00067,JNJ20231808
q00067,PG20230174
q00067,PG20230298
q00068,PG20230174
q00068,PG20230430
q00068,UNH20231332
q00068,AMZN20230983
q00068,PG20230327
q00068,LIN20231106
q00068,HD20231312
q00068,PG20230939
q00068,PG20230756
q00068,JNJ20231848
q00069,JNJ20230518
q00069,PG20230434
q00069,PG20231056
q00069,PG20230555
q00069,JPM20237265
q00069,MSFT20231403
q00069,AMZN20230509
q00069,PG20230174
q00069,JNJ20231203
q00069,NFLX20230438
q00070,PG20230555
q00070,PG20231056
q00070,PG20230174
q00070,PG20231309
q00070,PG20230298
q00070,PG20230267
q00070,JNJ20230478
q00070,META20230882
q00070,AMZN20230309
q00070,PG20230615
